Cliente,Producto,SKU,Fecha de creación (PST),Estado de la suscripción,Plan de pago,Fecha de renovación (PST),Licencias asignadas,Licencias compradas,ID único de cliente,ID de Cloud Identity,ID de aprovisionamiento
escolacoloniaguell.cat,Google Workspace,Google Workspace for Education Fundamentals,29 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SeeAu0HiEVnWV5,C036nc0hq,3345375182
escolacorbella.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SKearSJ9MJbU3e,C02keget8,3325873698
escolacusi.cat,Google Workspace,Google Workspace for Education Fundamentals,16 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SYUQGtXx0zPU3L,C02aa9s4h,3397815503
escoladali.eu,Google Workspace,Google Workspace for Education Fundamentals,1 de diciembre de 2021,Activa,Free Plan,-,0,2000000,StKJKdn9ap54gL,C01dxotky,3354186705
escoladamiamateu.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SnY7y07PSfaUOl,C04il7hwr,3326328560
escoladelavalldan.cat,Google Workspace,Google Workspace for Education Fundamentals,1 de diciembre de 2021,Activa,Free Plan,-,0,2000000,Sh6SrZwxp3OOcZ,C00sontsj,3354442805
escoladelbosc.cat,Google Workspace,Google Workspace for Education Fundamentals,23 de noviembre de 2021,Activa,Free Plan,-,0,2000000,StUI9dV2IifRaW,C02mse3tl,3329225686
escoladelboscrubi.cat,Google Workspace,Google Workspace for Education Fundamentals,2 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SuRYsCOB2jlNfl,C01z4a9pq,3353004359
escoladelparc.cat,Google Workspace,Google Workspace for Education Fundamentals,24 de noviembre de 2021,Activa,Free Plan,-,0,2000000,S9FepwnPKgWSW7,C01ipbp4w,3333213035
escolademaspujols.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,S0ABRDw0Jgfyxf,C01qpgzoe,3325984174
escolademoja.com,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SAtNuXNn2fM2Pe,C023qvkkq,3324676385
escoladepau.net,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SfC5Z8PRsSYhpF,C01exb0lz,3326069754
escoladoctorarruga.cat,Google Workspace,Google Workspace for Education Fundamentals,8 de diciembre de 2021,Activa,Free Plan,-,0,2000000,S9zxMFLSMPQVHZ,C01uf6y9o,3375178879
escoladoctorseres.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SQXJUtqJS62vLP,C042j1bvl,3326126454
